symbol,group,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
NEARUSDT,fast_alt,sol_5pct_12h,5.0,720,1.5,60,4.0,2.5,1440,150,36,11,22,3,0,30.555555555555557,33.333333333333336,41.53846153846154,-8.205128205128204,-169.24559891367727,72.00000000000001,496.52777777777777,32.913161205411846,-25.961595416697016,-27.000000000000004,38.0
NEARUSDT,fast_alt,sol_6pct_12h,6.0,720,1.5,60,4.0,2.5,1440,91,24,6,16,2,0,25.0,27.272727272727273,41.53846153846154,-14.265734265734267,-188.7583474816073,48.0,511.0833333333333,30.40520656479909,-27.000000000000004,-27.000000000000004,38.0
NEARUSDT,fast_alt,sol_6pct_24h,6.0,1440,2.0,90,5.0,2.5,1440,141,32,9,20,3,0,28.125,31.03448275862069,36.0,-4.96551724137931,-91.42609348145163,64.0,573.46875,40.84623796462859,-25.749271956779342,-27.000000000000004,48.0
NEARUSDT,fast_alt,sol_7pct_12h,7.0,720,1.5,60,5.0,2.5,1440,56,16,2,11,3,0,12.5,15.384615384615385,36.0,-20.615384615384613,-202.83114721579162,32.0,473.8125,34.162988115449906,-23.486162427857025,-27.000000000000004,48.0
NEARUSDT,fast_alt,sol_7pct_24h,7.0,1440,2.0,120,5.0,3.0,1440,80,19,4,10,5,0,21.05263157894737,28.571428571428573,40.0,-11.428571428571427,-129.17490510422692,38.0,727.0526315789474,27.00376476259953,-31.382274836820287,-32.0,48.0
NEARUSDT,fast_alt,sol_8pct_24h,8.0,1440,2.0,90,5.0,3.0,1440,83,14,3,7,4,0,21.428571428571427,30.0,40.0,-10.0,-89.72255569292557,28.0,835.3571428571429,30.282566615678046,-26.792820974590647,-32.0,48.0
WIFUSDT,memecoin,sol_4pct_6h,4.0,360,1.0,45,3.0,2.0,1440,134,52,14,35,3,0,26.923076923076923,28.571428571428573,44.0,-15.428571428571427,-382.96198698605434,104.00000000000001,290.34615384615387,24.996581316594202,-21.747424668098933,-22.0,27.999999999999996
WIFUSDT,memecoin,sol_4pct_12h,4.0,720,1.2,60,3.5,2.0,1440,184,49,14,31,4,0,28.571428571428573,31.11111111111111,39.99999999999999,-8.888888888888882,-179.37031084564197,98.0,368.2448979591837,27.923871619686558,-22.0,-22.0,33.0
WIFUSDT,memecoin,sol_5pct_6h,5.0,360,1.5,30,4.0,2.0,1440,119,30,9,19,2,0,30.0,32.142857142857146,36.666666666666664,-4.523809523809518,-76.65409217648039,60.0,352.1666666666667,34.73260073260073,-21.199004975124385,-22.0,38.0
WIFUSDT,memecoin,sol_5pct_8h,5.0,480,1.2,45,4.0,2.0,1440,109,33,9,22,2,0,27.272727272727273,29.032258064516128,36.666666666666664,-7.634408602150536,-125.48448948468547,66.0,336.54545454545456,32.592319137755865,-22.0,-22.0,38.0
WIFUSDT,memecoin,sol_5pct_12h,5.0,720,1.5,60,4.0,2.5,1440,134,31,7,20,4,0,22.580645161290324,25.925925925925927,41.53846153846154,-15.612535612535613,-236.2282193960155,62.0,561.0322580645161,27.61561641854405,-27.000000000000007,-27.000000000000004,38.0
WIFUSDT,memecoin,sol_6pct_12h,6.0,720,1.5,60,4.0,2.5,1440,97,22,5,15,2,0,22.727272727272727,25.0,41.53846153846154,-16.53846153846154,-206.5779831003713,44.0,456.54545454545456,34.067019400352734,-25.686256218905484,-27.000000000000004,38.0
WIFUSDT,memecoin,sol_6pct_24h,6.0,1440,2.0,90,5.0,2.5,1440,124,30,5,19,6,0,16.666666666666668,20.833333333333332,36.0,-15.166666666666668,-172.75577112899833,60.0,572.6,30.93129353372743,-27.000000000000007,-27.000000000000004,48.0
WIFUSDT,memecoin,sol_7pct_12h,7.0,720,1.5,60,5.0,2.5,1440,80,20,3,15,2,0,15.0,16.666666666666668,36.0,-19.333333333333332,-223.28674102844104,40.0,475.25,36.3426517943118,-27.000000000000004,-27.000000000000004,48.0
WIFUSDT,memecoin,sol_7pct_24h,7.0,1440,2.0,120,5.0,3.0,1440,81,20,4,12,4,0,20.0,25.0,40.0,-15.0,-171.15681725272074,40.0,696.4,37.27073378299104,-28.19865856790478,-32.0,48.0
WIFUSDT,memecoin,sol_8pct_24h,8.0,1440,2.0,90,5.0,3.0,1440,95,22,4,14,4,0,18.181818181818183,22.22222222222222,40.0,-17.77777777777778,-210.96424401014434,44.0,627.4545454545455,34.74506918678785,-30.27864855451062,-32.0,48.0
