symbol,group,mode,dump_pct,take_profit_pct,stop_loss_pct,timeout_minutes,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
SOLUSDT,large_alt,always_in_15m,0.0,2.5,1.2,720,25,4,12,9,0,16.0,25.0,37.837837837837846,-12.837837837837846,-52.15747137211593,50.0,363.96,17.13505631088762,-11.131642462306877,-14.0,23.0
SOLUSDT,large_alt,always_in_15m,0.0,3.0,1.5,240,42,1,6,35,0,2.380952380952381,14.285714285714286,37.777777777777786,-23.4920634920635,-106.4674173323036,84.0,208.97619047619048,6.392270934858459,-8.02860585730919,-17.0,27.999999999999996
SOLUSDT,large_alt,always_in_15m,0.0,3.0,1.5,480,25,1,9,15,0,4.0,10.0,37.777777777777786,-27.777777777777786,-69.35363097446776,50.0,362.4,7.586302616409835,-13.997963748982968,-17.0,27.999999999999996
SOLUSDT,large_alt,always_in_15m,0.0,3.0,1.5,720,21,1,9,11,0,4.761904761904762,10.0,37.777777777777786,-27.777777777777786,-72.88856421756859,42.0,434.14285714285717,14.921048787639318,-12.666850409360274,-17.0,27.999999999999996
SOLUSDT,large_alt,dump_reclaim,0.8,1.5,1.0,240,1,1,0,0,0,100.0,100.0,47.99999999999999,52.00000000000001,13.0,2.0,102.0,13.0,0.0,13.0,13.0
SOLUSDT,large_alt,dump_reclaim,0.8,1.5,1.0,480,1,1,0,0,0,100.0,100.0,47.99999999999999,52.00000000000001,13.0,2.0,102.0,13.0,0.0,13.0,13.0
SOLUSDT,large_alt,dump_reclaim,0.8,1.5,1.0,720,1,1,0,0,0,100.0,100.0,47.99999999999999,52.00000000000001,13.0,2.0,102.0,13.0,0.0,13.0,13.0
SOLUSDT,large_alt,dump_reclaim,0.8,2.0,1.0,240,1,0,0,1,0,0.0,,39.99999999999999,,4.013999802819692,2.0,240.0,4.013999802819692,0.0,4.013999802819692,4.013999802819692
SOLUSDT,large_alt,dump_reclaim,0.8,2.0,1.0,480,1,0,0,1,0,0.0,,39.99999999999999,,1.6478359459723997,2.0,480.0,1.6478359459723997,0.0,1.6478359459723997,1.6478359459723997
SOLUSDT,large_alt,dump_reclaim,0.8,2.0,1.0,720,1,0,0,1,0,0.0,,39.99999999999999,,0.4647540175490867,2.0,720.0,0.4647540175490867,0.0,0.4647540175490867,0.4647540175490867
SOLUSDT,large_alt,dump_reclaim,0.8,2.0,1.5,240,1,0,0,1,0,0.0,,48.57142857142857,,4.013999802819692,2.0,240.0,4.013999802819692,0.0,4.013999802819692,4.013999802819692
SOLUSDT,large_alt,dump_reclaim,0.8,2.0,1.5,480,1,0,0,1,0,0.0,,48.57142857142857,,1.6478359459723997,2.0,480.0,1.6478359459723997,0.0,1.6478359459723997,1.6478359459723997
SOLUSDT,large_alt,dump_reclaim,0.8,2.0,1.5,720,1,0,0,1,0,0.0,,48.57142857142857,,0.4647540175490867,2.0,720.0,0.4647540175490867,0.0,0.4647540175490867,0.4647540175490867
SOLUSDT,large_alt,dump_reclaim,0.8,2.5,1.2,240,1,0,0,1,0,0.0,,37.837837837837846,,4.013999802819692,2.0,240.0,4.013999802819692,0.0,4.013999802819692,4.013999802819692
SOLUSDT,large_alt,dump_reclaim,0.8,2.5,1.2,480,1,0,0,1,0,0.0,,37.837837837837846,,1.6478359459723997,2.0,480.0,1.6478359459723997,0.0,1.6478359459723997,1.6478359459723997
SOLUSDT,large_alt,dump_reclaim,0.8,2.5,1.2,720,1,0,0,1,0,0.0,,37.837837837837846,,0.4647540175490867,2.0,720.0,0.4647540175490867,0.0,0.4647540175490867,0.4647540175490867
SOLUSDT,large_alt,dump_reclaim,0.8,3.0,1.5,240,1,0,0,1,0,0.0,,37.777777777777786,,4.013999802819692,2.0,240.0,4.013999802819692,0.0,4.013999802819692,4.013999802819692
SOLUSDT,large_alt,dump_reclaim,0.8,3.0,1.5,480,1,0,0,1,0,0.0,,37.777777777777786,,1.6478359459723997,2.0,480.0,1.6478359459723997,0.0,1.6478359459723997,1.6478359459723997
SOLUSDT,large_alt,dump_reclaim,0.8,3.0,1.5,720,1,0,0,1,0,0.0,,37.777777777777786,,0.4647540175490867,2.0,720.0,0.4647540175490867,0.0,0.4647540175490867,0.4647540175490867
SOLUSDT,large_alt,dump_reclaim,1.2,1.5,1.0,240,0,0,0,0,0,0.0,,47.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
