symbol,group,take_profit_pct,stop_loss_pct,trades,wins,losses,timeouts,both_hit,win_rate_pct,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
DOTUSDT,large_alt,0.5,0.25,800,240,536,24,1,30.0,-1702.4601469325503,1600.0,11.60125,2.9271702141001446,-4.412569020405601,-4.500000000000001,3.0
DOTUSDT,large_alt,0.5,0.35,632,227,374,31,2,35.91772151898734,-1406.3677303205839,1264.0,14.950949367088608,2.930754603671764,-5.318877395926057,-5.5,3.0
DOTUSDT,large_alt,0.5,0.5,470,208,220,42,1,44.255319148936174,-1007.4759022152889,940.0000000000001,20.448936170212765,2.9387443030772413,-6.46553020346446,-7.0,3.0
DOTUSDT,large_alt,0.3,0.15,1635,509,1123,3,12,31.131498470948014,-3419.6511972676735,3270.0,5.165137614678899,0.9998726558400012,-3.496962744129817,-3.5,1.0
DOTUSDT,large_alt,0.3,0.3,962,456,492,14,2,47.4012474012474,-2030.0554644190547,1924.0,9.47920997920998,0.9996431199854747,-4.948094744517671,-5.0,1.0
DOTUSDT,large_alt,0.4,0.2,1060,330,718,12,3,31.132075471698112,-2220.359578167267,2120.0,8.510377358490565,1.9904990752952936,-3.9658813896019254,-4.0,2.0
DOTUSDT,large_alt,0.4,0.35,722,301,395,26,2,41.689750692520775,-1616.4701886579085,1444.0,12.962603878116344,1.983356966378907,-5.32708408490042,-5.5,2.0
DOTUSDT,large_alt,0.25,0.12,1879,689,1190,0,22,36.668440659925494,-3463.499999999934,3758.0,4.364555614688665,0.5,-3.199999999999933,-3.1999999999999997,0.5
DOTUSDT,large_alt,0.2,0.1,2362,786,1576,0,64,33.27688399661304,-4728.0,4724.0,3.2675698560541915,0.0,-2.0016934801016086,-3.0,0.0
DOTUSDT,large_alt,0.6,0.25,694,178,484,32,1,25.64841498559078,-1484.9595319361533,1388.0000000000002,13.52593659942363,3.838426733373603,-4.37707363275993,-4.500000000000001,4.0
DOTUSDT,large_alt,0.8,0.3,524,117,359,48,0,22.328244274809162,-1107.285776418897,1048.0,18.23854961832061,5.473744785673692,-4.772461513583813,-5.0,6.0
DOTUSDT,large_alt,0.8,0.4,416,111,248,57,0,26.682692307692307,-842.8414484341176,832.0000000000001,23.233173076923077,5.320017293941531,-5.594156430036307,-6.0,6.0
DOTUSDT,large_alt,1.0,0.4,362,70,219,73,0,19.337016574585636,-742.5473546182935,724.0,26.84806629834254,6.259731617009014,-5.446767215580698,-6.0,8.0
DOTUSDT,large_alt,1.0,0.5,333,72,183,78,0,21.62162162162162,-723.5019830029636,666.0,29.273273273273272,6.201005716858186,-6.192047112993989,-7.0,8.0
BCHUSDT,large_alt,0.5,0.08,1189,144,1020,25,6,12.111017661900757,-2423.590448632668,2378.0,7.478553406223718,2.8174488167169414,-2.7824901665120976,-2.8,3.0
BCHUSDT,large_alt,0.5,0.15,721,154,526,41,2,21.359223300970875,-1402.045500045159,1442.0,12.981969486823855,2.793735664518395,-3.417771452141463,-3.5,3.0
BCHUSDT,large_alt,0.5,0.25,518,141,325,52,2,27.22007722007722,-1086.6163929703957,1036.0,18.461389961389962,2.765258060745797,-4.27111084550202,-4.500000000000001,3.0
