symbol,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
AMD,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,88,16,6,9,1,0,37.5,40.0,39.04761904761905,0.952380952380949,-7.571049159702312,96.0,425.0,64.0,-39.15710491597023,-41.0,64.0
AMD,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,102,15,6,8,1,0,40.0,42.857142857142854,41.81818181818181,1.038961038961041,-1.3281033736122367,90.0,469.6666666666667,64.0,-42.81423370817914,-46.0,64.0
AMD,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,63,11,5,4,2,0,45.45454545454545,55.55555555555556,38.33333333333333,17.22222222222223,143.04602617636783,66.0,549.0909090909091,74.0,-37.82566230393869,-46.0,74.0
AMD,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,60,13,6,6,1,0,46.15384615384615,50.0,38.33333333333333,11.666666666666671,203.34638946599313,78.0,622.3076923076923,68.47805563799902,-46.0,-46.0,74.0
AMD,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,167,26,9,16,1,0,34.61538461538461,36.0,44.99999999999999,-8.999999999999993,-197.88676660149764,156.0,438.2692307692308,44.00000000000001,-34.93451568244104,-36.0,44.00000000000001
AMD,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,63,10,3,5,2,0,30.0,37.5,37.333333333333336,0.1666666666666643,51.027053135896956,60.0,775.0,66.20541062717939,-56.0,-56.0,94.0
SNDK,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,241,57,19,34,4,0,33.333333333333336,35.84905660377358,44.99999999999999,-9.15094339622641,-344.0776607873014,342.0,202.89473684210526,42.656581229729994,-34.440718516989755,-36.0,44.00000000000001
SNDK,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,227,50,15,31,4,0,30.0,32.608695652173914,40.0,-7.391304347826086,-313.5667155140521,300.0,235.2,51.506268454783104,-33.460794435017114,-36.0,54.0
SNDK,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,210,49,16,32,1,0,32.6530612244898,33.333333333333336,43.15789473684211,-9.824561403508774,-427.69270891582227,294.0,271.1224489795918,52.0180759461281,-41.0,-41.0,54.0
SNDK,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,189,45,13,30,2,0,28.88888888888889,30.232558139534884,40.0,-9.767441860465116,-353.14553911657777,270.0,227.33333333333334,52.292918884610266,-35.00794850003618,-36.0,54.0
SNDK,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,149,39,12,26,1,0,30.76923076923077,31.57894736842105,39.04761904761905,-7.468671679198,-267.28121413495495,234.0,296.15384615384613,61.43990660500347,-41.0,-41.0,64.0
SNDK,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,182,40,13,26,1,0,32.5,33.333333333333336,41.81818181818181,-8.484848484848477,-343.69270891582227,240.0,267.375,60.8790922202984,-46.0,-46.0,64.0
SNDK,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,125,35,9,24,2,0,25.714285714285715,27.272727272727273,38.33333333333333,-11.060606060606055,-382.20155246575786,210.0,325.57142857142856,65.6180406849311,-46.0,-46.0,74.0
SNDK,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,103,31,9,21,1,0,29.032258064516128,30.0,38.33333333333333,-8.333333333333329,-282.14291603783806,186.0,358.2258064516129,68.38570839621619,-46.0,-46.0,74.0
SNDK,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,224,55,20,35,0,0,36.36363636363637,36.36363636363637,44.99999999999999,-8.636363636363626,-380.0,330.0,238.36363636363637,44.00000000000001,-36.0,-36.0,44.00000000000001
SNDK,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,135,26,8,17,1,0,30.76923076923077,32.0,37.333333333333336,-5.333333333333336,-155.2947528451179,156.0,476.9230769230769,88.52280523943135,-56.0,-56.0,94.0
HPE,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,178,25,10,12,3,0,40.0,45.45454545454545,44.99999999999999,0.45454545454546036,53.6181504474243,150.0,450.6,37.35524234210956,-36.0,-36.0,44.00000000000001
HPE,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,112,21,7,8,6,0,33.333333333333336,46.666666666666664,40.0,6.666666666666664,252.30457893184254,126.0,520.7142857142857,41.56189068706481,-36.0,-36.0,54.0
HPE,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,140,22,12,8,2,0,54.54545454545455,60.0,43.15789473684211,16.84210526315789,281.8546570139571,132.0,616.3636363636364,54.0,-36.61453429860429,-41.0,54.0
HPE,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,69,16,5,6,5,0,31.25,45.45454545454545,40.0,5.454545454545453,192.30479989594795,96.0,478.75,40.83047998959479,-36.0,-36.0,54.0
HPE,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,82,17,7,8,2,0,41.1764705882353,46.666666666666664,39.04761904761905,7.619047619047613,96.74962827613774,102.00000000000001,648.5294117647059,64.0,-35.12503717238623,-41.0,64.0
HPE,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,80,13,6,5,2,0,46.15384615384615,54.54545454545455,41.81818181818181,12.727272727272734,115.85465701395702,78.0,776.9230769230769,64.0,-38.30647756943471,-46.0,64.0
HPE,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,48,10,4,4,2,0,40.0,50.0,38.33333333333333,11.666666666666671,88.74962827613777,60.0,875.5,74.0,-34.54172862064371,-46.0,74.0
HPE,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,54,12,5,6,1,0,41.666666666666664,45.45454545454545,38.33333333333333,7.121212121212125,103.62944804084898,72.00000000000001,767.0833333333334,63.271574673474824,-46.0,-46.0,74.0
HPE,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,179,27,13,13,1,0,48.148148148148145,50.0,44.99999999999999,5.000000000000007,89.64537922773863,162.0,523.7037037037037,44.00000000000001,-34.45390148373296,-36.0,44.00000000000001
HPE,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,36,8,3,2,3,0,37.5,60.0,37.333333333333336,22.666666666666664,293.1320594464309,48.0,1061.875,67.5220099077385,-56.0,-56.0,94.0
DELL,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,215,41,16,22,3,0,39.02439024390244,42.10526315789474,44.99999999999999,-2.894736842105253,-82.68991609738407,246.0,266.9512195121951,42.73179517395955,-33.713768085612344,-36.0,44.00000000000001
DELL,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,165,31,15,15,1,0,48.38709677419355,50.0,40.0,10.0,269.7604112449254,186.0,302.9032258064516,54.0,-33.76497429719216,-36.0,54.0
DELL,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,139,27,13,13,1,0,48.148148148148145,50.0,43.15789473684211,6.84210526315789,161.51599567012693,162.0,348.51851851851853,54.0,-38.606000309276645,-41.0,54.0
DELL,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,116,24,12,11,1,0,50.0,52.17391304347826,40.0,12.173913043478258,251.76041124492542,144.00000000000003,289.375,54.0,-33.01996572958955,-36.0,54.0
DELL,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,96,22,13,8,1,0,59.09090909090909,61.904761904761905,39.04761904761905,22.857142857142854,493.8601453561359,132.0,434.09090909090907,64.0,-37.57109496042935,-41.0,64.0
DELL,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,108,20,11,8,1,0,55.0,57.89473684210526,41.81818181818181,16.076555023923447,328.5159956701269,120.0,453.5,64.0,-41.72044492554145,-46.0,64.0
DELL,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,66,14,7,6,1,0,50.0,53.84615384615385,38.33333333333333,15.512820512820518,231.8601453561359,84.0,521.7857142857143,74.0,-40.87712209198059,-46.0,74.0
DELL,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,62,17,9,7,1,0,52.94117647058823,56.25,38.33333333333333,17.91666666666667,367.42810243091776,102.00000000000001,536.4705882352941,68.94281024309177,-46.0,-46.0,74.0
DELL,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,179,42,20,21,1,0,47.61904761904762,48.78048780487805,44.99999999999999,3.7804878048780566,109.31666338171654,252.0,265.1190476190476,44.00000000000001,-35.03106075537652,-36.0,44.00000000000001
DELL,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,52,8,5,2,1,0,62.5,71.42857142857143,37.333333333333336,34.095238095238095,418.1135530146355,48.0,773.125,88.35225883577259,-56.0,-56.0,94.0
ARM,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,270,46,16,28,2,0,34.78260869565217,36.36363636363637,44.99999999999999,-8.636363636363626,-349.62779630695013,276.0,313.5869565217391,44.00000000000001,-35.120926543565005,-36.0,44.00000000000001
