symbol,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
AMD,d5_w60,5.0,1560,1.5,60,5.0,4.0,2880,153,29,10,9,10,0,34.48275862068966,52.63157894736842,51.11111111111111,1.5204678362573105,-90.81638098893109,174.00000000000003,386.55172413793105,41.65128341186611,-34.74304599596026,-46.0,44.00000000000001
AMD,d5_w120,5.0,1560,1.5,120,5.0,4.0,2880,77,25,11,7,7,0,44.0,61.111111111111114,51.11111111111111,10.000000000000007,62.59995929323989,150.0,420.4,41.37303422988463,-33.37511165118274,-46.0,44.00000000000001
AMD,d5_w180,5.0,1560,1.5,180,5.0,4.0,2880,52,25,10,7,8,0,40.0,58.8235294117647,51.11111111111111,7.712418300653596,-5.768036269979778,150.0,350.0,41.255548109327215,-32.82707610518422,-46.0,44.00000000000001
AMD,d5_w240,5.0,1560,1.5,240,5.0,4.0,2880,35,25,9,8,8,0,36.0,52.94117647058823,51.11111111111111,1.8300653594771248,-54.385620752080115,150.0,301.8,38.423941006921034,-39.651762525779425,-46.0,44.00000000000001
AMD,d5_w300,5.0,1560,1.5,300,5.0,4.0,2880,30,22,9,7,6,0,40.90909090909091,56.25,51.11111111111111,5.138888888888893,18.855588400334774,132.0,325.0,41.10487952503943,-39.390735125008995,-46.0,44.00000000000001
SNDK,d4_w30,4.0,1560,1.5,30,5.0,4.0,2880,379,58,25,27,6,0,43.10344827586207,48.07692307692308,51.11111111111111,-3.034188034188027,-162.69819648452665,348.00000000000006,246.81034482758622,41.59572058467488,-41.476859750669306,-46.0,44.00000000000001
SNDK,d4_w60,4.0,1560,1.5,60,5.0,4.0,2880,199,51,19,25,7,0,37.254901960784316,43.18181818181818,51.11111111111111,-7.929292929292927,-320.17339029101134,306.0,252.64705882352942,39.635099471418656,-41.10846822973179,-46.0,44.00000000000001
SNDK,d4_w120,4.0,1560,1.5,120,5.0,4.0,2880,101,45,18,22,5,0,40.0,45.0,51.11111111111111,-6.111111111111107,-251.49963913546222,270.0,250.44444444444446,40.71221893882848,-42.62976071648127,-46.0,44.00000000000001
SNDK,d4_w180,4.0,1560,1.5,180,5.0,4.0,2880,67,35,17,12,6,0,48.57142857142857,58.62068965517241,51.11111111111111,7.509578544061306,178.3329188022281,210.0,267.85714285714283,42.01265379053482,-38.74421895112085,-46.0,44.00000000000001
SNDK,d4_w240,4.0,1560,1.5,240,5.0,4.0,2880,43,30,14,13,3,0,46.666666666666664,51.851851851851855,51.11111111111111,0.7407407407407476,15.168987160905191,180.0,263.3333333333333,42.40542452093068,-41.394158710203676,-46.0,44.00000000000001
SNDK,d4_w300,4.0,1560,1.5,300,5.0,4.0,2880,39,28,13,11,4,0,46.42857142857143,54.166666666666664,51.11111111111111,3.055555555555557,63.871318374942035,168.0,235.71428571428572,40.675305112957304,-42.01986602457058,-46.0,44.00000000000001
SNDK,d5_w30,5.0,1560,1.5,30,5.0,4.0,2880,363,56,23,27,6,0,41.07142857142857,46.0,51.11111111111111,-5.111111111111107,-250.69819648452668,336.0,236.33928571428572,41.40337823144887,-41.476859750669306,-46.0,44.00000000000001
SNDK,d5_w60,5.0,1560,1.5,60,5.0,4.0,2880,191,49,17,25,7,0,34.69387755102041,40.476190476190474,51.11111111111111,-10.634920634920633,-408.17339029101134,294.0,249.59183673469389,39.19860941856052,-41.10846822973179,-46.0,44.00000000000001
SNDK,d5_w120,5.0,1560,1.5,120,5.0,4.0,2880,96,43,16,22,5,0,37.2093023255814,42.10526315789474,51.11111111111111,-9.005847953216367,-339.49963913546225,258.0,249.53488372093022,40.34690993203164,-42.62976071648127,-46.0,44.00000000000001
SNDK,d5_w180,5.0,1560,1.5,180,5.0,4.0,2880,64,34,16,12,6,0,47.05882352941177,57.142857142857146,51.11111111111111,6.031746031746039,134.3329188022281,204.00000000000003,268.8235294117647,41.90224566778676,-38.74421895112085,-46.0,44.00000000000001
SNDK,d5_w240,5.0,1560,1.5,240,5.0,4.0,2880,42,29,13,13,3,0,44.827586206896555,50.0,51.11111111111111,-1.1111111111111072,-28.831012839094818,174.00000000000003,260.6896551724138,42.291526272425735,-41.394158710203676,-46.0,44.00000000000001
