combo,symbol,entry_time,exit_time,outcome,ret,pnl,notional,cash_before,open_count_at_entry,equity_before,equity_after,hold_minutes
d4_w30,ORCL,1784815200000,1784900400000,loss,-0.046,-42.20479779176125,917.4956041687229,917.4956041687229,0,917.4956041687229,875.2908063769617,370
d5_w30,QCOM,1784901000000,1785159000000,timeout,0.003202717452406972,2.803309141514867,875.2908063769617,875.2908063769617,0,875.2908063769617,878.0941155184765,370
d5_w120,ARM,1785159300000,1785162900000,loss,-0.046,-40.39232931384992,878.0941155184765,878.0941155184765,0,878.0941155184765,837.7017862046266,60
d4_w30,ORCL,1785163500000,1785245400000,loss,-0.046,-38.534282165412826,837.7017862046266,837.7017862046266,0,837.7017862046266,799.1675040392138,315
d5_w30,HPE,1785247200000,1785420000000,win,0.044000000000000004,35.16337017772541,799.1675040392138,799.1675040392138,0,799.1675040392138,834.3308742169392,780
d5_w120,ARM,1785420300000,1785504600000,win,0.044000000000000004,36.710558465545326,834.3308742169392,834.3308742169392,0,834.3308742169392,871.0414326824845,355
d5_w60,DELL,1785505500000,1785763800000,loss,-0.046,-40.06790590339428,871.0414326824845,871.0414326824845,0,871.0414326824845,830.9735267790902,375
d5_w30,QCOM,1785765600000,1785783600000,win,0.044000000000000004,36.562835178279975,830.9735267790902,830.9735267790902,0,830.9735267790902,867.5363619573702,300
d5_w30,MU,1785783900000,1785850200000,win,0.044000000000000004,38.171599926124294,867.5363619573702,867.5363619573702,0,867.5363619573702,905.7079618834945,55
d5_w30,MU,1785852000000,1785937500000,win,0.044000000000000004,39.851150322873764,905.7079618834945,905.7079618834945,0,905.7079618834945,945.5591122063682,375
d5_w120,AMD,1785954600000,1786127400000,timeout,-0.0219595709911563,-20.76407245083047,945.5591122063682,945.5591122063682,0,945.5591122063682,924.7950397555378,780
d5_w60,DELL,1786127700000,1786368600000,timeout,0.009123082602261917,8.436981537851864,924.7950397555378,924.7950397555378,0,924.7950397555378,933.2320212933896,85
d5_w120,AMD,1786369200000,1786542000000,timeout,0.012476410758615502,11.643386030749337,933.2320212933896,933.2320212933896,0,933.2320212933896,944.8754073241389,780
d5_w120,ARM,1786547100000,1786628700000,win,0.044000000000000004,41.57451792226212,944.8754073241389,944.8754073241389,0,944.8754073241389,986.449925246401,310
d4_w60,AVGO,1786630500000,1786715100000,loss,-0.046,-45.37669656133445,986.449925246401,986.449925246401,0,986.449925246401,941.0732286850665,360
d5_w30,HPE,1786715700000,1786973400000,timeout,-0.03999523233445867,-37.63844242499839,941.0732286850665,941.0732286850665,0,941.0732286850665,903.4347862600681,365
d5_w120,ARM,1786974000000,1787059800000,loss,-0.046,-41.55800016796313,903.4347862600681,903.4347862600681,0,903.4347862600681,861.876786092105,380
d5_w30,HPE,1787061300000,1787146500000,loss,-0.046,-39.64633216023683,861.876786092105,861.876786092105,0,861.876786092105,822.2304539318682,370
d5_w30,MU,1787147700000,1787255700000,win,0.044000000000000004,36.1781399730022,822.2304539318682,822.2304539318682,0,822.2304539318682,858.4085939048704,750
d5_w60,TXN,1787319000000,1787578200000,timeout,-0.019395467037705665,-16.64923558796518,858.4085939048704,858.4085939048704,0,858.4085939048704,841.7593583169051,390
d4_w60,AVGO,1787579400000,1787752200000,timeout,-0.029595506184432734,-24.912294294872094,841.7593583169051,841.7593583169051,0,841.7593583169051,816.847064022033,780
d5_w30,MU,1787752800000,1787925600000,timeout,-0.007549025421379469,-6.16639925168151,816.847064022033,816.847064022033,0,816.847064022033,810.6806647703515,780
d5_w120,ARM,1787927700000,1788183000000,timeout,-0.029991923178395934,-24.31387222000333,810.6806647703515,810.6806647703515,0,810.6806647703515,786.3667925503482,325
d5_w30,HPE,1788184200000,1788270600000,loss,-0.046,-36.17287245731602,786.3667925503482,786.3667925503482,0,786.3667925503482,750.1939200930323,390
d4_w30,ORCL,1788271200000,1788444000000,timeout,0.03420238047278024,25.65841788338839,750.1939200930323,750.1939200930323,0,750.1939200930323,775.8523379764207,780
d5_w30,HPE,1788444300000,1788459900000,win,0.044000000000000004,34.137502870962514,775.8523379764207,775.8523379764207,0,775.8523379764207,809.9898408473832,260
d5_w30,HPE,1788461100000,1788464700000,win,0.044000000000000004,35.639552997284866,809.9898408473832,809.9898408473832,0,809.9898408473832,845.6293938446681,60
d4_w60,AVGO,1788531000000,1788874200000,timeout,0.030139197227649912,25.486591082582496,845.6293938446681,845.6293938446681,0,845.6293938446681,871.1159849272507,350
d4_w30,ORCL,1788894900000,1789065000000,loss,-0.046,-40.07133530665353,871.1159849272507,871.1159849272507,0,871.1159849272507,831.0446496205972,735
d5_w30,MU,1789065600000,1789392600000,loss,-0.046,-38.22805388254747,831.0446496205972,831.0446496205972,0,831.0446496205972,792.8165957380497,470
d5_w30,MU,1789394400000,1789567200000,timeout,0.013372007285829884,10.601549294536047,792.8165957380497,792.8165957380497,0,792.8165957380497,803.4181450325858,780
d4_w30,ORCL,1789568100000,1789660200000,win,0.044000000000000004,35.35039838143378,803.4181450325858,803.4181450325858,0,803.4181450325858,838.7685434140196,485
d4_w180,SNDK,1789662600000,1789738800000,win,0.044000000000000004,36.905815910216866,838.7685434140196,838.7685434140196,0,838.7685434140196,875.6743593242365,220
d4_w30,ORCL,1789743900000,1789761300000,timeout,0.008954641193945628,7.841349690486754,875.6743593242365,875.6743593242365,0,875.6743593242365,883.5157090147233,290
